0,1,2,3,4,5,6,7
0.9361,0.0,1515.2,210.54,0.78156,0.0,2.3342,0.0
0.0,10.206,1399.0,639.5,0.0,0.71921,8.1116,5.5056
0.17686,0.961,904.24,485.19,5.8825,9.7104,0.65079,13.902000000000001
0.69933,5.8658,1538.3,559.23,3.362,3.5307,5.9722,23.566
9.191,11.724,1212.4,370.75,9.3634,1.4228,0.0,0.1343
0.0,2.3421,525.36,55.778999999999996,0.0,0.0,0.0,0.73706
0.0,4.4967,1282.4,615.3,0.46203999999999995,3.5477,0.27409,4.0521
0.0,4.5693,751.17,483.21,0.0,3.9883,0.8342299999999999,11.445
0.60031,0.6732199999999999,499.94,267.62,0.22869,0.0,4.0752,2.3479
1.2436,1.8359999999999999,919.84,519.22,0.0,2.2533,1.6503,10.073
2.3446,0.0,1315.4,386.09,0.0,5.0106,6.7923,5.6404
0.0,9.277999999999999,1352.9,668.77,0.0,0.0,3.6848,6.3042
0.18073,3.1175,864.55,144.87,0.0,5.0061,7.3873,5.6483
0.70754,5.182,529.17,101.54,0.0,0.26147,0.0,1.0611
0.46807,7.4921,1287.3,615.27,0.0,1.2677,0.061217999999999995,5.8483
16.491,12.259,1458.4,896.31,0.0,0.0,0.49733999999999995,9.2869
0.39809,2.616,1064.7,610.11,0.0,0.0,2.0708,13.623
0.87879,4.6271,1703.8,675.92,0.35235,0.0,2.4695,4.6208
0.0,5.452999999999999,1036.1,434.94,0.0,0.02482,4.6115,4.7726
1.8916,1.8174,922.68,392.71,0.47648999999999997,0.84251,2.3272,10.224
0.0,0.9373,668.85,301.73,0.0,0.0,1.2133,3.3203
0.0,1.4074,1241.7,785.18,0.0,1.2335,4.8228,1.6033
4.6051,9.2759,1219.0,459.52,2.3163,3.68,6.2434,5.9469
2.9128,0.955,1001.9,325.46,0.0,2.4739,2.9869,0.32646
0.0,10.084,1337.9,706.71,0.0,0.0,3.1431,3.9233
0.0,1.2563,1818.5,572.33,0.0,2.572,0.0,9.2046
1.0916,8.7083,1390.5,343.56,1.8530000000000002,3.6702,7.313,0.8554200000000001
0.033462,4.3617,960.41,51.221000000000004,3.1759,2.1065,10.283,4.1807
2.5099,2.5495,1154.4,480.23,0.0,1.5329,6.8015,2.2208
0.0,0.0,809.23,450.15,0.0,4.0363,4.5042,4.6678
0.0,1.8641,934.83,208.0,1.6663,0.0,2.1697,2.8418
0.0,6.524,1145.6,481.27,0.0,18.262,14.57,8.1721
0.45125,5.0243,1042.4,499.59,0.0,3.6124,5.8311,7.5857
0.0,8.4536,2769.9,33.15,22.717,0.0,6.5707,1.1237
0.0,1.3858,800.76,365.98,0.0,0.17165,2.4758,5.2943
0.0,2.5093,633.62,228.12,0.0,4.0391,1.9969999999999999,4.6247
1.8848,3.802,1123.4,189.18,0.0,0.0,1.2276,1.9325
0.0,11.96,1225.7,585.39,0.6359600000000001,7.6866,8.7871,5.4582
0.0,7.6432,970.51,473.68,0.0,0.14124,0.5756600000000001,3.4081
5.7817,15.495,1999.9,510.95,4.348,1.4271,0.55486,20.91
0.0,0.0,581.13,70.035,0.58005,0.0,4.0748,10.186
0.0,2.7916,1572.4,504.33,0.0,0.0,3.8923,3.47
0.61054,5.2171,899.85,428.88,0.0,5.0198,9.6527,2.7357
